iata,lat,lon
ATL,33.6407,-84.4277
ORD,41.9742,-87.9073
DFW,32.8998,-97.0403
DEN,39.8561,-104.6737
LAX,33.9425,-118.4081
SFO,37.6213,-122.3790
JFK,40.6413,-73.7781
LAS,36.0840,-115.1537
SEA,47.4502,-122.3088
MCO,28.4312,-81.3081
EWR,40.6895,-74.1745
CLT,35.2144,-80.9473
PHX,33.4342,-112.0116
IAH,29.9902,-95.3368
MIA,25.7959,-80.2870
BOS,42.3656,-71.0096
MSP,44.8848,-93.2223
FLL,26.0742,-80.1506
DTW,42.2162,-83.3554
PHL,39.8729,-75.2437
LGA,40.7769,-73.8740
BWI,39.1774,-76.6684
SLC,40.7899,-111.9791
DCA,38.8512,-77.0402
MDW,41.7868,-87.7522
TPA,27.9755,-82.5332
PDX,45.5898,-122.5951
STL,38.7487,-90.3700
HNL,21.3245,-157.9251
BNA,36.1245,-86.6782
AUS,30.1975,-97.6664
SAN,32.7338,-117.1933
DAL,32.8471,-96.8517
HOU,29.6454,-95.2789
OAK,37.7126,-122.2197
MCI,39.2976,-94.7139
RDU,35.8776,-78.7875
MSY,29.9934,-90.2580
SJC,37.3639,-121.9289
PIT,40.4915,-80.2329
CLE,41.4117,-81.8498
CMH,39.9980,-82.8919
IND,39.7173,-86.2944
MKE,42.9472,-87.8966
RSW,26.5362,-81.7552
SAT,29.5337,-98.4698
PBI,26.6832,-80.0956
SMF,38.6954,-121.5908
ANC,61.1743,-149.9962
BOI,43.5644,-116.2228
BUF,42.9405,-78.7322
CHS,32.8986,-80.0405
CVG,39.0488,-84.6678
DSM,41.5340,-93.6631
ELP,31.8073,-106.3776
FAT,36.7762,-119.7181
GEG,47.6199,-117.5338
GSP,34.8957,-82.2189
JAX,30.4941,-81.6879
MEM,35.0424,-89.9767
OMA,41.3032,-95.8941
OKC,35.3931,-97.6007
RIC,37.5052,-77.3197
RNO,39.4991,-119.7681
SNA,33.6757,-117.8682
TUS,32.1161,-110.9410
ABQ,35.0402,-106.6092
ALB,42.7483,-73.8017
BDL,41.9389,-72.6832
BHM,33.5629,-86.7535
BUR,34.2007,-118.3590
CAE,33.9388,-81.1195
CHI,41.9742,-87.9073
COS,38.8058,-104.7008
DAY,39.9024,-84.2194
ECP,30.3571,-85.7954
EUG,44.1246,-123.2119
FSD,43.5820,-96.7419
GRR,42.8808,-85.5228
GSO,36.0978,-79.9373
HDN,40.4811,-107.2177
HPN,41.0685,-73.7077
ICT,37.6499,-97.4331
ISP,40.7952,-73.1002
ITO,19.7214,-155.0482
JAC,43.6073,-110.7377
KOA,19.7388,-156.0456
LIH,21.9760,-159.3389
MAF,31.9425,-102.2019
MFR,42.3742,-122.8735
MTJ,38.5098,-107.8942
OGG,20.8986,-156.4305
ORF,36.8946,-76.2012
PNS,30.4734,-87.1866
PSC,46.2647,-119.1190
PWM,43.6462,-70.3093
RAP,43.9113,-103.5750
ROA,37.3255,-79.9754
ROC,43.1189,-77.6724
SRQ,27.3954,-82.5544
SYR,43.1112,-76.1063
TLH,30.3965,-84.3503
TRI,36.4752,-82.4074
TYS,35.8110,-83.9940
XNA,36.2819,-94.3068
